<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.23	00:00:00	1675.70500	1691.86900	1652.35600	1691.76900	3058	0	242100
2021.03.23	01:00:00	1691.76900	1700.25100	1678.29900	1678.29900	3205	0	414600
2021.03.23	02:00:00	1678.29900	1690.37200	1664.43000	1687.97800	3054	0	316400
2021.03.23	03:00:00	1687.97800	1709.43000	1683.38800	1704.34200	2279	0	338700
2021.03.23	04:00:00	1704.34200	1706.63700	1685.58300	1688.97600	2222	0	341800
2021.03.23	05:00:00	1688.97600	1698.15500	1684.58500	1697.95600	1755	0	348700
2021.03.23	06:00:00	1697.95600	1700.94900	1684.28600	1690.37200	1253	0	258100
2021.03.23	07:00:00	1691.07100	1692.56800	1661.43600	1673.51000	3009	0	212900
2021.03.23	08:00:00	1673.60900	1674.20800	1647.66700	1651.55800	3176	0	199100
2021.03.23	09:00:00	1651.55800	1678.69800	1651.55800	1675.50500	1706	0	251100
2021.03.23	10:00:00	1675.50500	1680.09500	1662.93300	1678.29900	1388	0	251700
2021.03.23	11:00:00	1678.29900	1686.78000	1675.10600	1683.98700	1043	0	244300
2021.03.23	12:00:00	1683.98700	1688.77600	1680.69400	1686.48100	1134	0	245700
2021.03.23	13:00:00	1686.18200	1692.06900	1676.40300	1682.59000	912	0	317600
2021.03.23	14:00:00	1682.59000	1705.14000	1682.59000	1700.65000	2061	0	339600
2021.03.23	15:00:00	1700.65000	1712.82300	1699.25300	1704.64100	1433	0	360800
2021.03.23	16:00:00	1704.64100	1708.93200	1686.38100	1703.24400	1520	0	421300
2021.03.23	17:00:00	1703.24400	1709.53000	1698.35500	1699.45200	996	0	400400
2021.03.23	18:00:00	1699.45200	1716.01600	1689.77400	1707.03600	2850	0	334800
2021.03.23	19:00:00	1707.03600	1715.31700	1704.34200	1711.92500	1552	0	432200
2021.03.23	20:00:00	1711.92500	1717.11400	1703.64300	1704.34200	1494	0	337500
2021.03.23	21:00:00	1704.34200	1709.33100	1689.77400	1702.84500	1817	0	358500
2021.03.23	22:00:00	1702.84500	1703.24400	1666.32600	1668.42100	1948	0	377400
2021.03.23	23:00:00	1668.42100	1674.00900	1655.54900	1664.62900	1753	0	359400
2021.03.24	00:00:00	1664.62900	1678.10000	1659.74000	1661.73600	2461	0	390500
2021.03.24	01:00:00	1661.73600	1674.80700	1660.43800	1664.72900	2203	0	371000
2021.03.24	02:00:00	1664.72900	1675.40500	1651.00200	1653.45400	2446	0	165300
2021.03.24	03:00:00	1653.45400	1675.10600	1650.36100	1671.61400	2142	0	308400
2021.03.24	04:00:00	1671.61400	1679.79600	1668.42100	1676.60300	1877	0	375600
